Shoe,Runs,Longest Run (km),Total Distance (km),Total Elevation Gain (km),Average Run Length (km),Total Time (h),Average Pace (min/km)
Salomon Speedtrak - Blue II,33,168.3,1221.5,37.7,37.0,175,08:36
Salomon Speedcross 5 Black (Width 2E),15,166.7,484.9,14.0,32.3,79,09:42
"Nike Alphafly Next% 2, 2",3,42.3,54.3,0.2,18.1,4,03:54
Inov-8 terraultra,48,93.6,834.1,20.8,17.4,209,15:01
NNormal Tomir 2.0,3,21.7,50.7,2.3,16.9,9,10:11
HOKA Speedgoat 4,38,45.4,597.0,21.2,15.7,83,08:20
Salming Trail 5,25,29.2,374.4,6.9,15.0,84,13:29
Inov-8 X-Talon 260 Ultra,28,46.2,414.3,14.4,14.8,62,08:59
Nike Alphafly 2,15,42.5,213.1,0.9,14.2,15,04:08
HOKA Clifton 9 the Third,16,43.1,212.9,1.8,13.3,23,06:21
Mizuno Waverider 20,36,31.9,456.4,5.0,12.7,62,08:09
Adidas Adizero Boston,12,18.2,150.5,0.9,12.5,15,06:00
HOKA Clifton 9,115,35.5,1398.6,15.1,12.2,163,06:58
Brooks Ghost 14,69,23.7,829.5,3.7,12.0,312,22:32
HOKA Carbon X2,76,50.1,894.6,6.3,11.8,90,06:02
Saucony Endorphin Trail,34,24.0,396.3,6.6,11.7,47,07:07
New Balance fresh foam,76,26.3,872.9,6.8,11.5,141,09:43
Brooks Levitate 2,115,43.2,1130.2,8.7,9.8,134,07:07
HOKA Carbon X2 (China),58,42.4,559.9,6.2,9.7,64,06:53
Vivobarefoot ESC Tempest Swimrun Swimrunners,2,8.7,13.4,0.4,6.7,1,06:09
