activity_name,type,distance,moving_time,elapsed_time,total_elevation_gain,average_speed,max_speed,average_heartrate_bpm,max_heartrate_bpm,achievement_count,kudos_count,comment_count,athlete_count,commute,gear_id,suffer_score,average_temp,start_data,distance_km
Lunch Swim,Swim,2000,33:41,38:52,0,0.99,1.32,128.4,167,0,12,2,1,FALSE,NA,23,NA,2025-05-26,2
Evening Run,Run,11067,64:37,65:15,99,2.855,5.783,124.5,158,2,41,0,2,FALSE,g23261009,17,20,2025-05-25,11.067
Keswick back to Penrith,Ride,34106.8,97:10,98:48,455,5.85,14.64,130.4,165,0,34,0,2,FALSE,b8218319,45,19,2025-05-24,34.1068
Morning Hike,Hike,8498,104:52,106:39,318,1.351,2.98,NA,NA,0,30,0,2,FALSE,g23644198,NA,19,2025-05-24,8.498
Glenridding to Keswick,Ride,29034,92:52,110:24,390,5.211,15.04,133.7,169,0,33,2,2,FALSE,b8218319,55,21,2025-05-23,29.034
Helvellyn,Run,20452.1,253:58,261:24,1427,1.342,4.4,144.3,181,1,61,1,2,FALSE,g23644198,181,24,2025-05-23,20.452099999999998
Ride to Glenridding!,Ride,29765.7,74:58,77:00,400,6.618,15.58,120,154,0,28,0,2,FALSE,b8218319,18,20,2025-05-23,29.765700000000002
Morning Ride,Ride,2304.3,07:04,08:45,21,5.435,9.844,129.8,164,0,0,0,1,FALSE,b15178927,4,22,2025-05-23,2.3043
Night Ride,Ride,3060.3,08:02,08:02,16,6.349,10.42,108.5,128,3,0,0,1,TRUE,b15178927,1,18,2025-05-22,3.0603000000000002
Evening Ride,Ride,3834.9,13:59,13:59,55,4.571,7.663,102.6,125,0,0,0,1,FALSE,b15178927,2,21,2025-05-22,3.8349
Evening Run,Run,7133.2,37:59,42:24,62,3.13,6.04,126.1,143,1,43,0,2,FALSE,g23261009,9,22,2025-05-22,7.1331999999999995
Lunch Ride,Ride,2079.8,07:45,13:03,23,4.473,8.04,106.7,134,0,0,0,1,FALSE,b15178927,1,28,2025-05-21,2.0798
Lancaster,Ride,20026.7,71:12,144:40,278,4.688,18.45,111.1,143,5,40,0,2,TRUE,b15178927,13,25,2025-05-21,20.0267
Morning Ride,Ride,2131.9,06:22,07:50,36,5.581,8.04,98.8,123,0,0,0,1,TRUE,b15178927,0,23,2025-05-21,2.1319
Evening Ride,Ride,2048.1,07:04,08:09,24,4.83,8.7,112.3,154,0,0,0,1,TRUE,b15178927,1,24,2025-05-20,2.0481
LCC drinking squad,Run,6965.1,39:31,88:01,34,2.938,4.288,125.6,146,2,30,0,2,FALSE,g23261009,8,25,2025-05-20,6.9651000000000005
Morning Ride,Ride,2075.2,06:05,06:05,26,5.685,9,131.9,152,0,0,0,1,TRUE,b15178927,3,22,2025-05-20,2.0751999999999997
Beer Lovers Marathon,Run,43096.5,283:50,420:18,571,1.709,5.243,141.1,189,0,67,8,3,FALSE,g23261009,226,23,2025-05-18,43.0965
Morning Ride,Ride,2096.9,07:18,12:25,24,4.787,7.267,90.9,117,0,0,0,2,TRUE,b15178927,0,23,2025-05-16,2.0969
Evening Ride,Ride,3338.4,13:06,35:00,17,4.247,9.72,101.7,121,1,0,0,2,FALSE,b8218319,2,25,2025-05-15,3.3384
Morning Ride,Ride,5558,27:58,555:47,51,3.312,8.067,104.6,141,1,0,0,2,FALSE,b8218319,4,21,2025-05-15,5.558
Morning Swim,Swim,2000,33:31,60:55,0,0.995,1.2,129.4,172,0,26,0,1,FALSE,NA,40,NA,2025-05-15,2
Morning Ride,Ride,5034.9,15:11,15:11,53,5.527,8.94,109.1,126,4,0,0,1,TRUE,b8218319,2,17,2025-05-15,5.0348999999999995
Evening Run,Run,12158.7,59:36,59:36,71,3.4,6.52,141.2,162,4,59,0,1,FALSE,g23261009,31,23,2025-05-14,12.158700000000001
Afternoon Ride,Ride,2585.9,09:08,22:08,38,4.719,19.64,101,130,0,0,0,1,TRUE,b15178927,1,27,2025-05-14,2.5859
Night Ride,Ride,3011.4,08:05,08:05,16,6.209,11.583,107.2,121,4,0,0,1,TRUE,b8218319,1,20,2025-05-13,3.0114
